Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
PIXY,Shiftpixy Inc,2.1,0.07,3.45%,2.2,2.03,424285,2053429,4/20/2021
DOC,Physicians Realty Trust,19.22,0.64,3.44%,19.25,18.59,2938202,2334285,4/20/2021
HRZN,Horizon Technology F,16.45,0.54,3.39%,16.49,15.95,361303,212535,4/20/2021
KRYS,Krystal Biotech Inc,77.24,2.52,3.37%,77.82,72.96,84376,100334,4/20/2021
NXRT,Nexpoint Residential Trust Inc,50.81,1.64,3.34%,50.81,49,131543,109687,4/20/2021
IMOS,Chipmos Tech,33.84,1.08,3.30%,33.89,33.42,57663,26563,4/20/2021
EXEL,Exelixis Inc,24.51,0.77,3.24%,24.53,23.52,1788596,1619445,4/20/2021
PASG,Passage Bio Inc,16.59,0.52,3.24%,16.78,15.81,130613,292256,4/20/2021
BTG,B2Gold Corp,5.12,0.16,3.23%,5.12,4.93,9076183,6228729,4/20/2021
KDMN,Kadmon Holdings Llc,3.83,0.12,3.23%,3.91,3.64,2124284,3258889,4/20/2021
KMPH,Kempharm Inc,8.97,0.28,3.22%,9.01,8.29,1110727,1350656,4/20/2021
JNCE,Jounce Therapeutics Inc,8.78,0.27,3.17%,8.85,8.21,351875,332119,4/20/2021
SRRK,Scholar Rock Holding Corp,32.08,0.98,3.15%,32.45,30.22,408517,480791,4/20/2021
DOV,Dover Corp,144.86,4.43,3.15%,146.9,143.78,1345924,651751,4/20/2021
DQ,Daqo New Energy,69.04,2.1,3.14%,73.7,67.52,3938086,3285659,4/20/2021
MREO,Mereo Biopharma Group Plc ADR,3.29,0.1,3.13%,3.3,3.03,1327231,2290882,4/20/2021
CEMI,Chembio Diagnostics,3.63,0.11,3.13%,3.7,3.35,948594,15074681,4/20/2021
TAL,Tal Education Group,62.64,1.88,3.09%,64.5,60.91,7722142,6687057,4/20/2021
ADC,Agree Realty Corp,70.99,2.13,3.09%,71.42,69,1255678,582309,4/20/2021
SILK,Silk Road Medical Inc,53.38,1.6,3.09%,53.56,51.4,335031,233942,4/20/2021
TTNP,Titan Pharma,2.35,0.07,3.07%,2.4,2.18,280298,367210,4/20/2021
GKOS,Glaukos Corp,86.58,2.57,3.06%,86.67,83.28,304695,422430,4/20/2021
OM,Outset Medical Inc,55.5,1.65,3.06%,55.81,53.05,629730,675727,4/20/2021
RAPT,Rapt Therapeutics Inc,20.64,0.61,3.05%,21.11,19.89,86070,124428,4/20/2021
IONS,Ionis Pharmaceuticals,41.16,1.22,3.05%,41.24,39.79,1120328,2049141,4/20/2021
STAG,STI Inc,36.63,1.08,3.04%,36.75,35.6,1558291,1050910,4/20/2021
ICPT,Intercept Pharmaceuticals,20.8,0.61,3.02%,21,19.8,771573,1321869,4/20/2021
BYFC,Broadway Fin Cp,2.06,0.06,3.00%,2.1,1.98,427756,373023,4/20/2021
UMH,Umh Properties,20.72,0.6,2.98%,20.72,19.69,490847,340907,4/20/2021
AKRO,Akero Therapeutics Inc,27.87,0.79,2.92%,28.09,26.56,193840,284982,4/20/2021
VIRX,Viracta Therapeutics Inc,7.77,0.22,2.91%,7.77,7.27,179232,296147,4/20/2021
OPRT,Oportun Financial Corp,20.31,0.57,2.89%,20.31,19.35,52871,47189,4/20/2021
EDTK,Skillful Craftsman Education Technology Ltd,2.5,0.07,2.88%,2.59,2.43,446862,429358,4/20/2021
GNCA,Genocea Biosciences,2.16,0.06,2.86%,2.2,2.06,193949,318087,4/20/2021
TBIO,Translate Bio Inc,19.78,0.55,2.86%,19.83,19.07,1701246,1334047,4/20/2021
HR,Healthcare Realty Trust Inc,32.55,0.9,2.84%,32.67,31.62,962779,1045434,4/20/2021
ASND,Ascendis Pharma Ads,125.03,3.41,2.80%,125.57,120.59,137005,245800,4/20/2021
VG,Vonage Holdings,13.71,0.36,2.74%,13.8,13.05,2855381,3019709,4/20/2021
MMLP,Martin Midstrm LP,2.25,0.06,2.74%,2.29,2.14,122008,216995,4/20/2021
VIVE,Viveve Medical,2.63,0.07,2.73%,2.67,2.43,499993,366925,4/20/2021
ANIX,Anixa Biosciences Inc,4.17,0.11,2.71%,4.29,3.86,698965,778043,4/20/2021
ATO,Atmos Energy Corp,104.59,2.75,2.70%,104.73,102,798184,750924,4/20/2021
TRIB,Trinity Bio ADR,3.42,0.09,2.70%,3.45,3.26,349486,405674,4/20/2021
AXGN,Axogen Inc,18.28,0.48,2.70%,18.45,17.49,258577,187854,16:07 ET
ARQT,Arcutis Biotherapeutics Inc,28.66,0.75,2.69%,28.87,27.48,198042,155997,4/20/2021
KT,Korea Telecom Corp,13.02,0.34,2.68%,13.04,12.83,1406450,1044657,4/20/2021
MFH,Mercurity Fintech Holding Inc,5.39,0.14,2.67%,5.7,5.15,155109,474635,4/20/2021
FULC,Fulcrum Therapeutics Inc,11.64,0.3,2.65%,11.65,10.94,70477,87334,4/20/2021
LEGN,Legend Biotech Corp ADR,26.72,0.69,2.65%,26.76,25.46,122217,277256,4/20/2021
ITCB,Itau Corpbanca,6.19,0.16,2.65%,6.19,5.96,56910,25025,4/20/2021
BTAI,Bioxcel Therapeutics Inc,34.04,0.88,2.65%,34.1,31.84,421501,518275,4/20/2021
GFL,Gfl Environmental Inc,33.02,0.85,2.64%,33.27,32.21,1043472,1029214,4/20/2021
VIR,Vir Biotechnology Inc,48.46,1.24,2.63%,49.19,46.6,1064578,691529,4/20/2021
PBYI,Puma Biotechnology,9.81,0.25,2.62%,9.83,9.41,213840,325692,4/20/2021
NWN,Northwest Natural Gas Company,56.39,1.44,2.62%,56.54,54.96,156219,274431,4/20/2021
IRM,Iron Mountain Inc,39.49,1.01,2.62%,39.94,38.48,5086494,1935075,4/20/2021
APWC,Asia Pacific Wire & Cable,3.14,0.08,2.61%,3.15,2.92,70047,79607,4/20/2021
OMER,Omeros Corp,18.55,0.47,2.60%,18.74,17.93,469338,542672,4/20/2021
OTRK,Ontrak Inc,29.71,0.75,2.59%,29.81,28.36,259153,446128,4/20/2021
YMAB,Y-Mabs Therapeutics Inc,26.11,0.66,2.59%,26.28,25.18,166915,275761,4/20/2021
DRD,Drdgold Ltd,10.74,0.27,2.58%,10.78,10.36,214313,217966,4/20/2021
WARR,Warrior Technologies Acquisition Company Cl A,10,0.25,2.56%,10,9.73,200972,N/A,4/20/2021
PM,Philip Morris International Inc,94,2.33,2.54%,94.64,90.21,8162806,4741061,4/20/2021
RNLX,Renalytix Ai Plc ADR,25.99,0.64,2.52%,26.55,24.37,58792,76835,4/20/2021
SRAC,Stable Road Acquisition Corp Cl A,11.01,0.27,2.51%,11.3,10.45,1050096,828390,4/20/2021
AEE,Ameren Corp,85.89,2.1,2.51%,86.17,83.37,1366184,1282304,4/20/2021
CHCT,Community Healthcare Trust Inc,50.84,1.24,2.50%,51.11,49.67,89436,95457,16:10 ET
THRY,Thryv Holdings Inc,25.54,0.62,2.49%,25.78,23.94,63617,73246,4/20/2021
ARCE,Arco Platform Ltd Cl A,29.28,0.71,2.49%,29.58,28.6,161467,324948,4/20/2021
APYX,Apyx Medical Corp,9.88,0.24,2.49%,9.98,9.45,120771,101644,4/20/2021
KMB,Kimberly-Clark Corp,142.39,3.46,2.49%,142.88,138.63,2518183,2133294,4/20/2021
ONCR,Oncorus Inc,13.63,0.33,2.48%,13.65,12.94,83182,186784,4/20/2021
EVRG,Evergy Inc,64.81,1.57,2.48%,64.92,63.5,1685694,1485990,4/20/2021
ENTA,Enanta Pharmaceutica,51.1,1.23,2.47%,51.28,49.3,65458,116893,4/20/2021
CSAN,Cosan Sa Spon Ads WI [Csan/I],16.6,0.4,2.47%,16.79,16.43,149087,397274,4/20/2021
AKUS,Akouos Inc,14.6,0.35,2.46%,14.66,14.01,54263,180108,4/20/2021
ENIA,Enersis Americas S.A. American,8.01,0.19,2.43%,8.1,7.69,8145583,4343579,4/20/2021
ESPR,Esperion Theraptc,27.54,0.65,2.42%,27.66,26.63,310735,448667,4/20/2021
SHLS,Shoals Technologies Group Inc Cl A,31.81,0.75,2.41%,32.19,30.92,746754,1727918,4/20/2021
WEC,Wisconsin Energy Corp,99.15,2.3,2.37%,99.86,96.86,1304060,1241123,4/20/2021
CLX,Clorox Company,194.47,4.51,2.37%,194.92,189,1649135,1294892,4/20/2021
CRNX,Crinetics Pharmaceuticals Inc,16.55,0.38,2.35%,16.76,15.39,241072,193819,4/20/2021
JT,Jianpu Technology Inc,2.62,0.06,2.34%,2.69,2.44,131368,192108,4/20/2021
JNJ,Johnson & Johnson,166.48,3.79,2.33%,167.79,161,14048792,7969410,4/20/2021
RCKT,Rocket Pharmaceuticals Inc,42.3,0.96,2.32%,42.54,40.76,294044,554362,4/20/2021
INCY,Incyte Corp,84.57,1.9,2.30%,84.64,82.9,735621,1142451,4/20/2021
CYTK,Cytokinetics,25.3,0.57,2.30%,25.5,24.38,716398,716525,4/20/2021
KPTI,Karyopharm Therapeut,9.44,0.21,2.28%,9.47,8.96,2802574,1886784,4/20/2021
INVZ,Innoviz Technologies Ltd,9.47,0.21,2.27%,9.68,8.81,603161,1188653,4/20/2021
CYAN,Cyanotech Corp,3.16,0.07,2.27%,3.23,3.05,51831,838182,4/20/2021
LEVI,Levi Strauss & Co. Cl A,28.91,0.64,2.26%,28.93,27.93,1782768,1925843,4/20/2021
SEAS,Seaworld Entertainment Inc Company,52.04,1.14,2.24%,52.95,49.62,1854870,911998,4/20/2021
Downloaded from Barchart.com as of 04-20-2021 05:32pm CDT,,,,,,,,,
